Delta Time, Position, Velocity, 
10, 19.235487, 2.281536, 
10, 19.257588, 2.210196, 
10, 19.278964, 2.137562, 
10, 19.299605, 2.064125, 
10, 19.319510, 1.990477, 
10, 19.338683, 1.917271, 
10, 19.357135, 1.845217, 
10, 19.374887, 1.775202, 
10, 19.391970, 1.708267, 
10, 19.408425, 1.645519, 
10, 19.424306, 1.588092, 
10, 19.439677, 1.537112, 
10, 19.454613, 1.493643, 
10, 19.469200, 1.458645, 
10, 19.483529, 1.432913, 
10, 19.497699, 1.417040, 
10, 19.511813, 1.411379, 
10, 19.525973, 1.416016, 
10, 19.540281, 1.430773, 
10, 19.554833, 1.455210, 
10, 19.569720, 1.488658, 
10, 19.585022, 1.530253, 
10, 19.600812, 1.578986, 
10, 19.617150, 1.633756, 
10, 19.634084, 1.693415, 
10, 19.651652, 1.756822, 
10, 19.669881, 1.822874, 
10, 19.688786, 1.890544, 
10, 19.708375, 1.958899, 
10, 19.728646, 2.027112, 
10, 19.749591, 2.094471, 
10, 19.771195, 2.160378, 
10, 19.793438, 2.224342, 
10, 19.816298, 2.285971, 
10, 19.839748, 2.344965, 
10, 19.863759, 2.401105, 
10, 19.888301, 2.454237, 
10, 19.913344, 2.504266, 
10, 19.938855, 2.551146, 
10, 19.964804, 2.594870, 
10, 19.991158, 2.635460, 
10, 20.017888, 2.672965, 
10, 20.044963, 2.707449, 
10, 20.072352, 2.738994, 
10, 20.100029, 2.767687, 
10, 20.127966, 2.793625, 
10, 20.156135, 2.816907, 
10, 20.184511, 2.837632, 
10, 20.213070, 2.855902, 
10, 20.241788, 2.871815, 
10, 20.270643, 2.885468, 
10, 20.299612, 2.896955, 
10, 20.328676, 2.906364, 
10, 20.357814, 2.913782, 
10, 20.387007, 2.919291, 
10, 20.416236, 2.922968, 
10, 20.445485, 2.924887, 
10, 20.474737, 2.925117, 
10, 20.503974, 2.923723, 
10, 20.533181, 2.920765, 
10, 20.562344, 2.916301, 
10, 20.591448, 2.910385, 
10, 20.620479, 2.903066, 
10, 20.649423, 2.894390, 
10, 20.678267, 2.884401, 
10, 20.706999, 2.873247, 
10, 20.735611, 2.861201, 
10, 20.764096, 2.848429, 
10, 20.792445, 2.834973, 
10, 20.820654, 2.820871, 
10, 20.848716, 2.806158, 
10, 20.876624, 2.790868, 
10, 20.904375, 2.775030, 
10, 20.931961, 2.758673, 
